13:13:18.323 - accX: 104, accY: -22, accZ: 19
13:13:18.350 - accX: 101, accY: -8, accZ: 30
13:13:18.366 - accX: 78, accY: -17, accZ: 33
13:13:18.380 - accX: 46, accY: 2, accZ: 55
13:13:18.394 - accX: 7, accY: 34, accZ: 6
13:13:18.409 - accX: -4, accY: 6, accZ: -2
13:13:18.425 - accX: -4, accY: 6, accZ: -2
13:13:18.445 - accX: -48, accY: 76, accZ: 38
13:13:18.460 - accX: -128, accY: 110, accZ: 53
13:13:18.474 - accX: -83, accY: 38, accZ: -42
13:13:18.493 - accX: -35, accY: 18, accZ: -3
13:13:18.507 - accX: -127, accY: -1, accZ: 102
13:13:18.526 - accX: -59, accY: -4, accZ: -35
13:13:18.542 - accX: 53, accY: -97, accZ: 13
13:13:18.558 - accX: 51, accY: 66, accZ: 23
13:13:18.572 - accX: 37, accY: 94, accZ: -3
13:13:18.587 - accX: 38, accY: 77, accZ: -5
13:13:18.600 - accX: -2, accY: 45, accZ: -23
13:13:18.625 - accX: -27, accY: 31, accZ: -29
13:13:18.641 - accX: -23, accY: 30, accZ: -29
13:13:18.657 - accX: -23, accY: 29, accZ: -29
13:13:18.668 - accX: -24, accY: 29, accZ: -30
13:13:18.680 - accX: -23, accY: 29, accZ: -28
13:13:18.692 - accX: -23, accY: 29, accZ: -29
13:13:18.714 - accX: -23, accY: 29, accZ: -30
13:13:18.728 - accX: -23, accY: 28, accZ: -29
13:13:18.740 - accX: -23, accY: 28, accZ: -30
13:13:18.764 - accX: 108, accY: 72, accZ: 70
13:13:18.779 - accX: -50, accY: 62, accZ: -121
13:13:18.794 - accX: -53, accY: 62, accZ: -126
13:13:18.806 - accX: -71, accY: 47, accZ: -110
13:13:18.819 - accX: -72, accY: 57, accZ: -108
13:13:18.842 - accX: -59, accY: 24, accZ: -104
13:13:18.858 - accX: -47, accY: 34, accZ: -110
13:13:18.871 - accX: 100, accY: -54, accZ: 91
