14:32:36.037 - accX: -7, accY: -1, accZ: 60
14:32:36.054 - accX: -6, accY: -2, accZ: 60
14:32:36.068 - accX: -7, accY: -1, accZ: 60
14:32:36.081 - accX: -7, accY: -2, accZ: 60
14:32:36.094 - accX: -7, accY: -1, accZ: 59
14:32:36.107 - accX: -6, accY: -1, accZ: 60
14:32:36.134 - accX: -7, accY: -3, accZ: 59
14:32:36.154 - accX: -8, accY: -1, accZ: 59
14:32:36.169 - accX: -6, accY: -2, accZ: 61
14:32:36.189 - accX: -7, accY: -2, accZ: 60
14:32:36.203 - accX: -7, accY: -1, accZ: 60
14:32:36.228 - accX: -6, accY: -2, accZ: 60
14:32:36.248 - accX: -7, accY: -2, accZ: 60
14:32:36.263 - accX: -6, accY: -3, accZ: 60
14:32:36.280 - accX: -7, accY: -3, accZ: 60
14:32:36.292 - accX: -7, accY: -2, accZ: 60
14:32:36.304 - accX: -7, accY: -2, accZ: 59
14:32:36.316 - accX: -7, accY: -2, accZ: 60
14:32:36.329 - accX: -7, accY: -2, accZ: 59
14:32:36.352 - accX: -6, accY: -2, accZ: 59
14:32:36.369 - accX: -7, accY: -2, accZ: 59
14:32:36.381 - accX: -7, accY: -2, accZ: 60
14:32:36.393 - accX: -7, accY: -2, accZ: 60
14:32:36.416 - accX: -7, accY: -1, accZ: 59
14:32:36.433 - accX: -7, accY: -1, accZ: 60
14:32:36.446 - accX: -6, accY: -1, accZ: 60
14:32:36.458 - accX: -7, accY: -2, accZ: 60
14:32:36.472 - accX: -7, accY: -2, accZ: 59
14:32:36.494 - accX: -7, accY: -1, accZ: 59
14:32:36.511 - accX: -7, accY: -2, accZ: 60
14:32:36.525 - accX: -7, accY: -2, accZ: 60
14:32:36.535 - accX: -7, accY: -2, accZ: 60
14:32:36.559 - accX: -8, accY: -2, accZ: 60
14:32:36.593 - accX: -8, accY: -2, accZ: 60
14:32:36.620 - accX: -7, accY: -2, accZ: 60
14:32:36.661 - accX: -7, accY: -2, accZ: 60
14:32:36.694 - accX: 0, accY: -1, accZ: 74
14:32:36.742 - accX: -11, accY: -3, accZ: 65
14:32:36.787 - accX: -47, accY: -22, accZ: 81
14:32:36.803 - accX: -31, accY: -27, accZ: 94
14:32:36.818 - accX: -34, accY: -17, accZ: 93
14:32:36.835 - accX: -63, accY: -25, accZ: 84
14:32:36.851 - accX: -72, accY: -29, accZ: 74
14:32:36.865 - accX: -72, accY: -21, accZ: 58
14:32:36.879 - accX: -64, accY: 0, accZ: 49
14:32:36.896 - accX: -69, accY: 5, accZ: 43
14:32:36.910 - accX: -75, accY: 17, accZ: 28
14:32:36.925 - accX: -66, accY: 37, accZ: 24
